"NAPLES MUNICIPAL AIRPORT, FL US (USW00012897)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2006-12-01,,84,72,0.00,0.0,0.0
2006-12-02,,82,71,0.00,0.0,0.0
2006-12-03,,84,68,0.00,0.0,0.0
2006-12-04,,79,62,0.00,0.0,0.0
2006-12-05,,76,60,0.00,0.0,0.0
2006-12-06,,81,62,0.00,0.0,0.0
2006-12-07,,81,65,0.00,0.0,0.0
2006-12-08,,66,54,0.00,0.0,0.0
2006-12-09,,75,53,0.00,0.0,0.0
2006-12-10,,80,57,0.00,0.0,0.0
2006-12-11,,81,62,0.00,0.0,0.0
2006-12-12,,80,62,0.00,0.0,0.0
2006-12-13,,83,65,0.00,0.0,0.0
2006-12-14,,78,69,0.00,0.0,0.0
2006-12-15,,78,67,0.00,0.0,0.0
2006-12-16,,73,67,0.00,0.0,0.0
2006-12-17,,81,68,0.00,0.0,0.0
2006-12-18,,84,66,0.00,0.0,0.0
2006-12-19,,82,64,0.00,0.0,0.0
2006-12-20,,82,61,0.00,0.0,0.0
2006-12-21,,83,65,0.00,0.0,0.0
2006-12-22,,84,71,0.00,0.0,0.0
2006-12-23,,84,69,0.00,0.0,0.0
2006-12-24,,85,67,0.00,0.0,0.0
2006-12-25,,82,69,0.31,0.0,0.0
2006-12-26,,73,57,0.14,0.0,0.0
2006-12-27,,64,51,0.00,0.0,0.0
2006-12-28,,78,49,0.00,0.0,0.0
2006-12-29,,84,59,0.00,0.0,0.0
2006-12-30,,85,67,0.00,0.0,0.0
2006-12-31,,84,70,0.00,0.0,0.0
2007-01-01,,81,67,0.00,0.0,0.0
2007-01-02,,81,67,0.00,0.0,0.0
2007-01-03,,85,66,0.00,0.0,0.0
2007-01-04,,83,65,0.00,0.0,0.0
2007-01-05,,83,69,0.00,0.0,0.0
2007-01-06,,83,68,0.00,0.0,0.0
2007-01-07,,85,66,0.00,0.0,0.0
2007-01-08,,80,67,0.00,0.0,0.0
2007-01-09,,71,54,0.00,0.0,0.0
2007-01-10,,71,49,0.00,0.0,0.0
2007-01-11,,78,54,0.00,0.0,0.0
2007-01-12,,81,59,0.00,0.0,0.0
2007-01-13,,82,61,0.00,0.0,0.0
2007-01-14,,83,62,0.00,0.0,0.0
2007-01-15,,81,58,0.00,0.0,0.0
2007-01-16,,81,66,0.00,0.0,0.0
2007-01-17,,82,66,0.00,0.0,0.0
2007-01-18,,80,64,0.00,0.0,0.0
2007-01-19,,82,66,0.00,0.0,0.0
2007-01-20,,81,62,0.00,0.0,0.0
2007-01-21,,84,60,0.00,0.0,0.0
2007-01-22,,82,67,0.00,0.0,0.0
2007-01-23,,79,66,0.00,0.0,0.0
2007-01-24,,80,63,0.00,0.0,0.0
2007-01-25,,66,52,0.00,0.0,0.0
2007-01-26,,71,47,0.00,0.0,0.0
2007-01-27,,78,50,0.00,0.0,0.0
2007-01-28,,74,55,0.01,0.0,0.0
2007-01-29,,64,46,0.00,0.0,0.0
2007-01-30,,65,40,0.01,0.0,0.0
2007-01-31,,75,49,0.00,0.0,0.0
2007-02-01,,81,56,0.00,0.0,0.0
2007-02-02,,82,66,0.00,0.0,0.0
2007-02-03,,68,61,0.00,0.0,0.0
2007-02-04,,68,57,0.01,0.0,0.0
2007-02-05,,60,49,0.33,0.0,0.0
2007-02-06,,71,49,0.05,0.0,0.0
2007-02-07,,77,52,0.00,0.0,0.0
2007-02-08,,77,55,0.00,0.0,0.0
2007-02-09,,77,53,0.00,0.0,0.0
2007-02-10,,73,59,0.00,0.0,0.0
2007-02-11,,78,53,0.00,0.0,0.0
2007-02-12,,73,60,0.00,0.0,0.0
2007-02-13,,80,62,0.00,0.0,0.0
2007-02-14,,78,64,0.00,0.0,0.0
2007-02-15,,65,56,0.37,0.0,0.0
2007-02-16,,61,46,0.01,0.0,0.0
2007-02-17,,60,38,0.00,0.0,0.0
2007-02-18,,63,46,0.14,0.0,0.0
2007-02-19,,68,37,0.00,0.0,0.0
2007-02-20,,76,47,0.00,0.0,0.0
2007-02-21,,77,53,0.00,0.0,0.0
2007-02-22,,77,58,0.00,0.0,0.0
2007-02-23,,81,52,0.00,0.0,0.0
2007-02-24,,83,55,0.00,0.0,0.0
2007-02-25,,82,63,0.00,0.0,0.0
2007-02-26,,80,67,0.00,0.0,0.0
2007-02-27,,81,67,0.03,0.0,0.0
2007-02-28,,85,66,0.00,0.0,0.0
2007-03-01,,85,68,0.00,0.0,0.0
2007-03-02,,84,72,0.00,0.0,0.0
2007-03-03,,83,66,0.00,0.0,0.0
2007-03-04,,75,62,0.00,0.0,0.0
2007-03-05,,73,52,0.00,0.0,0.0
2007-03-06,,78,50,0.00,0.0,0.0
2007-03-07,,79,53,0.00,0.0,0.0
2007-03-08,,79,56,0.00,0.0,0.0
2007-03-09,,84,59,0.00,0.0,0.0
2007-03-10,,80,61,0.00,0.0,0.0
2007-03-11,,87,61,0.00,0.0,0.0
2007-03-12,,86,62,0.00,0.0,0.0
2007-03-13,,86,60,0.00,0.0,0.0
2007-03-14,,84,62,0.00,0.0,0.0
2007-03-15,,85,66,0.00,0.0,0.0
2007-03-16,,82,68,0.25,0.0,0.0
2007-03-17,,69,57,0.00,0.0,0.0
2007-03-18,,78,50,0.00,0.0,0.0
2007-03-19,,83,56,0.00,0.0,0.0
2007-03-20,,82,60,0.00,0.0,0.0
2007-03-21,,86,60,0.00,0.0,0.0
2007-03-22,,81,62,0.01,0.0,0.0
2007-03-23,,89,66,0.00,0.0,0.0
2007-03-24,,89,63,0.00,0.0,0.0
2007-03-25,,87,65,0.00,0.0,0.0
2007-03-26,,89,64,0.00,0.0,0.0
2007-03-27,,87,65,0.00,0.0,0.0
2007-03-28,,87,61,0.00,0.0,0.0
2007-03-29,,85,63,0.00,0.0,0.0
2007-03-30,,88,65,0.00,0.0,0.0
2007-03-31,,88,65,0.00,0.0,0.0
2007-04-01,,86,60,0.00,0.0,0.0
2007-04-02,,86,63,0.00,0.0,0.0
2007-04-03,,84,65,0.00,0.0,0.0
2007-04-04,,85,64,0.00,0.0,0.0
2007-04-05,,83,67,0.00,0.0,0.0
2007-04-06,,75,56,0.02,0.0,0.0
2007-04-07,,71,59,0.00,0.0,0.0
2007-04-08,,73,48,0.00,0.0,0.0
2007-04-09,,82,55,0.00,0.0,0.0
2007-04-10,,84,68,0.43,0.0,0.0
2007-04-11,,84,67,0.11,0.0,0.0
2007-04-12,,85,67,0.07,0.0,0.0
2007-04-13,,94,66,0.10,0.0,0.0
2007-04-14,,90,70,0.00,0.0,0.0
2007-04-15,,80,66,0.88,0.0,0.0
2007-04-16,,71,53,0.00,0.0,0.0
2007-04-17,,77,58,0.00,0.0,0.0
2007-04-18,,77,57,0.00,0.0,0.0
2007-04-19,,77,68,0.00,0.0,0.0
2007-04-20,,83,64,0.00,0.0,0.0
2007-04-21,,86,63,0.10,0.0,0.0
2007-04-22,,87,65,0.00,0.0,0.0
2007-04-23,,86,58,0.00,0.0,0.0
2007-04-24,,86,61,0.00,0.0,0.0
2007-04-25,,86,64,0.00,0.0,0.0
2007-04-26,,89,68,0.00,0.0,0.0
2007-04-27,,86,69,0.00,0.0,0.0
2007-04-28,,85,72,0.00,0.0,0.0
2007-04-29,,91,67,0.00,0.0,0.0
2007-04-30,,90,70,0.00,0.0,0.0
2007-05-01,,90,66,0.00,0.0,0.0
2007-05-02,,87,67,0.00,0.0,0.0
2007-05-03,,89,69,0.00,0.0,0.0
2007-05-04,,88,71,0.00,0.0,0.0
2007-05-05,,89,70,0.00,0.0,0.0
2007-05-06,,86,69,0.00,0.0,0.0
2007-05-07,,84,65,0.00,0.0,0.0
2007-05-08,,80,62,0.00,0.0,0.0
2007-05-09,,83,63,0.00,0.0,0.0
2007-05-10,,83,71,0.00,0.0,0.0
2007-05-11,,83,73,0.00,0.0,0.0
2007-05-12,,84,73,0.00,0.0,0.0
2007-05-13,,83,71,0.00,0.0,0.0
2007-05-14,,93,68,2.91,0.0,0.0
2007-05-15,,89,70,0.29,0.0,0.0
2007-05-16,,87,70,0.29,0.0,0.0
2007-05-17,,87,70,0.00,0.0,0.0
2007-05-18,,85,73,0.00,0.0,0.0
2007-05-19,,91,71,0.00,0.0,0.0
2007-05-20,,91,69,0.00,0.0,0.0
2007-05-21,,91,69,0.00,0.0,0.0
2007-05-22,,91,70,0.00,0.0,0.0
2007-05-23,,90,71,0.00,0.0,0.0
2007-05-24,,89,68,0.00,0.0,0.0
2007-05-25,,89,69,0.00,0.0,0.0
2007-05-26,,91,67,0.00,0.0,0.0
2007-05-27,,88,68,0.00,0.0,0.0
2007-05-28,,92,68,0.00,0.0,0.0
2007-05-29,,90,70,0.00,0.0,0.0
2007-05-30,,90,70,0.00,0.0,0.0
2007-05-31,,86,73,0.00,0.0,0.0
2007-06-01,,76,70,1.32,0.0,0.0
2007-06-02,,84,74,0.21,0.0,0.0
2007-06-03,,85,76,0.00,0.0,0.0
2007-06-04,,84,74,0.00,0.0,0.0
2007-06-05,,88,73,0.00,0.0,0.0
2007-06-06,,84,77,0.14,0.0,0.0
2007-06-07,,92,75,0.00,0.0,0.0
2007-06-08,,89,71,0.00,0.0,0.0
2007-06-09,,93,71,0.00,0.0,0.0
2007-06-10,,89,75,0.00,0.0,0.0
2007-06-11,,88,77,0.00,0.0,0.0
2007-06-12,,89,76,0.00,0.0,0.0
2007-06-13,,90,73,0.00,0.0,0.0
2007-06-14,,90,70,0.00,0.0,0.0
2007-06-15,,91,73,0.00,0.0,0.0
2007-06-16,,90,73,0.00,0.0,0.0
2007-06-17,,88,75,0.00,0.0,0.0
2007-06-18,,91,75,0.00,0.0,0.0
2007-06-19,,93,74,0.62,0.0,0.0
2007-06-20,,91,75,0.00,0.0,0.0
2007-06-21,,89,82,0.02,0.0,0.0
2007-06-22,,90,81,0.00,0.0,0.0
2007-06-23,,90,74,0.00,0.0,0.0
2007-06-24,,93,78,0.00,0.0,0.0
2007-06-25,,95,77,0.00,0.0,0.0
2007-06-26,,96,76,0.00,0.0,0.0
2007-06-27,,94,73,0.70,0.0,0.0
2007-06-28,,93,75,1.36,0.0,0.0
2007-06-29,,89,75,0.00,0.0,0.0
2007-06-30,,89,76,0.00,0.0,0.0
2007-07-01,,91,81,0.00,0.0,0.0
2007-07-02,,91,77,0.00,0.0,0.0
2007-07-03,,91,76,0.00,0.0,0.0
2007-07-04,,89,77,0.00,0.0,0.0
2007-07-05,,89,79,0.00,0.0,0.0
2007-07-06,,91,78,0.01,0.0,0.0
2007-07-07,,92,78,0.00,0.0,0.0
2007-07-08,,90,78,0.00,0.0,0.0
2007-07-09,,92,79,0.19,0.0,0.0
2007-07-10,,95,76,0.35,0.0,0.0
2007-07-11,,93,75,0.00,0.0,0.0
2007-07-12,,91,79,0.00,0.0,0.0
2007-07-13,,92,79,0.00,0.0,0.0
2007-07-14,,94,78,0.00,0.0,0.0
2007-07-15,,93,76,0.00,0.0,0.0
2007-07-16,,91,76,0.02,0.0,0.0
2007-07-17,,94,75,0.02,0.0,0.0
2007-07-18,,96,75,0.13,0.0,0.0
2007-07-19,,95,75,0.02,0.0,0.0
2007-07-20,,91,78,0.01,0.0,0.0
2007-07-21,,90,78,0.01,0.0,0.0
2007-07-22,,90,74,0.33,0.0,0.0
2007-07-23,,91,73,0.85,0.0,0.0
2007-07-24,,90,75,0.03,0.0,0.0
2007-07-25,,92,75,0.00,0.0,0.0
2007-07-26,,95,74,0.10,0.0,0.0
2007-07-27,,93,77,0.03,0.0,0.0
2007-07-28,,91,75,0.18,0.0,0.0
2007-07-29,,89,76,0.02,0.0,0.0
2007-07-30,,91,78,0.00,0.0,0.0
2007-07-31,,90,75,1.23,0.0,0.0
2007-08-01,,88,77,0.54,0.0,0.0
2007-08-02,,91,79,0.00,0.0,0.0
2007-08-03,,93,76,0.00,0.0,0.0
2007-08-04,,93,77,0.00,0.0,0.0
2007-08-05,,95,81,0.00,0.0,0.0
2007-08-06,,93,82,0.00,0.0,0.0
2007-08-07,,93,80,0.14,0.0,0.0
2007-08-08,,93,80,0.00,0.0,0.0
2007-08-09,,93,80,0.27,0.0,0.0
2007-08-10,,94,79,0.00,0.0,0.0
2007-08-11,,93,78,0.13,0.0,0.0
2007-08-12,,94,77,1.93,0.0,0.0
2007-08-13,,93,78,1.27,0.0,0.0
2007-08-14,,92,79,0.02,0.0,0.0
2007-08-15,,91,79,0.01,0.0,0.0
2007-08-16,,95,78,0.00,0.0,0.0
2007-08-17,,96,75,0.00,0.0,0.0
2007-08-18,,93,75,0.34,0.0,0.0
2007-08-19,,97,77,0.01,0.0,0.0
2007-08-20,,97,80,0.00,0.0,0.0
2007-08-21,,97,79,0.00,0.0,0.0
2007-08-22,,96,78,0.03,0.0,0.0
2007-08-23,,94,76,0.91,0.0,0.0
2007-08-24,,92,78,0.00,0.0,0.0
2007-08-25,,94,76,0.00,0.0,0.0
2007-08-26,,93,76,0.11,0.0,0.0
2007-08-27,,95,76,0.05,0.0,0.0
2007-08-28,,97,76,0.00,0.0,0.0
2007-08-29,,98,78,0.00,0.0,0.0
2007-08-30,,96,80,0.00,0.0,0.0
2007-08-31,,93,79,0.00,0.0,0.0
2007-09-01,,92,79,0.00,0.0,0.0
2007-09-02,,92,78,0.00,0.0,0.0
2007-09-03,,93,77,0.01,0.0,0.0
2007-09-04,,94,79,0.00,0.0,0.0
2007-09-05,,95,77,1.58,0.0,0.0
2007-09-06,,95,77,0.00,0.0,0.0
2007-09-07,,95,78,0.00,0.0,0.0
2007-09-08,,95,76,0.23,0.0,0.0
2007-09-09,,92,76,0.02,0.0,0.0
2007-09-10,,92,77,0.24,0.0,0.0
2007-09-11,,93,77,0.20,0.0,0.0
2007-09-12,,91,76,0.00,0.0,0.0
2007-09-13,,92,74,0.00,0.0,0.0
2007-09-14,,92,75,0.14,0.0,0.0
2007-09-15,,94,76,0.12,0.0,0.0
2007-09-16,,94,76,1.98,0.0,0.0
2007-09-17,,95,76,0.78,0.0,0.0
2007-09-18,,93,76,0.00,0.0,0.0
2007-09-19,,90,74,0.10,0.0,0.0
2007-09-20,,88,76,0.17,0.0,0.0
2007-09-21,,90,76,0.32,0.0,0.0
2007-09-22,,94,76,1.80,0.0,0.0
2007-09-23,,90,77,0.37,0.0,0.0
2007-09-24,,90,76,0.16,0.0,0.0
2007-09-25,,89,75,0.05,0.0,0.0
2007-09-26,,89,75,0.01,0.0,0.0
2007-09-27,,89,74,0.00,0.0,0.0
2007-09-28,,92,77,0.76,0.0,0.0
2007-09-29,,94,76,0.00,0.0,0.0
2007-09-30,,89,76,0.00,0.0,0.0
2007-10-01,,87,75,0.00,0.0,0.0
2007-10-02,,91,76,0.00,0.0,0.0
2007-10-03,,90,77,0.06,0.0,0.0
2007-10-04,,95,77,1.26,0.0,0.0
2007-10-05,,92,77,0.61,0.0,0.0
2007-10-06,,93,80,0.00,0.0,0.0
2007-10-07,,94,78,0.03,0.0,0.0
2007-10-08,,92,78,0.00,0.0,0.0
2007-10-09,,93,75,0.00,0.0,0.0
2007-10-10,,93,76,0.00,0.0,0.0
2007-10-11,,94,75,0.00,0.0,0.0
2007-10-12,,93,76,0.00,0.0,0.0
2007-10-13,,91,75,0.00,0.0,0.0
2007-10-14,,91,73,0.00,0.0,0.0
2007-10-15,,92,73,0.00,0.0,0.0
2007-10-16,,94,74,0.00,0.0,0.0
2007-10-17,,90,75,0.00,0.0,0.0
2007-10-18,,91,75,0.00,0.0,0.0
2007-10-19,,89,76,0.00,0.0,0.0
2007-10-20,,82,73,2.43,0.0,0.0
2007-10-21,,91,75,0.06,0.0,0.0
2007-10-22,,89,76,0.10,0.0,0.0
2007-10-23,,89,75,0.00,0.0,0.0
2007-10-24,,87,72,0.08,0.0,0.0
2007-10-25,,78,67,0.25,0.0,0.0
2007-10-26,,83,68,0.00,0.0,0.0
2007-10-27,,84,74,0.00,0.0,0.0
2007-10-28,,89,72,0.00,0.0,0.0
2007-10-29,,87,73,0.00,0.0,0.0
2007-10-30,,88,73,0.00,0.0,0.0
2007-10-31,,84,74,0.04,0.0,0.0
2007-11-01,,88,75,0.01,0.0,0.0
2007-11-02,,84,69,0.00,0.0,0.0
2007-11-03,,81,60,0.00,0.0,0.0
2007-11-04,,81,57,0.00,0.0,0.0
2007-11-05,,82,58,0.00,0.0,0.0
2007-11-06,,80,60,0.00,0.0,0.0
2007-11-07,,78,57,0.00,0.0,0.0
2007-11-08,,77,54,0.00,0.0,0.0
2007-11-09,,78,57,0.00,0.0,0.0
2007-11-10,,77,56,0.00,0.0,0.0
2007-11-11,,82,55,0.00,0.0,0.0
2007-11-12,,83,61,0.00,0.0,0.0
2007-11-13,,82,63,0.00,0.0,0.0
2007-11-14,,83,64,0.00,0.0,0.0
2007-11-15,,79,63,0.00,0.0,0.0
2007-11-16,,69,50,0.00,0.0,0.0
2007-11-17,,78,50,0.00,0.0,0.0
2007-11-18,,82,59,0.00,0.0,0.0
2007-11-19,,82,63,0.00,0.0,0.0
2007-11-20,,83,63,0.00,0.0,0.0
2007-11-21,,83,61,0.00,0.0,0.0
2007-11-22,,82,63,0.00,0.0,0.0
2007-11-23,,80,65,0.00,0.0,0.0
2007-11-24,,81,62,0.00,0.0,0.0
2007-11-25,,84,64,0.00,0.0,0.0
2007-11-26,,85,68,0.00,0.0,0.0
2007-11-27,,83,69,0.03,0.0,0.0
2007-11-28,,83,69,0.05,0.0,0.0
2007-11-29,,81,68,0.00,0.0,0.0
2007-11-30,,82,68,0.00,0.0,0.0
2007-12-01,,83,69,0.01,0.0,0.0
2007-12-02,,85,67,0.00,0.0,0.0
2007-12-03,,80,65,0.00,0.0,0.0
2007-12-04,,74,58,0.01,0.0,0.0
2007-12-05,,74,51,0.00,0.0,0.0
2007-12-06,,81,62,0.00,0.0,0.0
2007-12-07,,83,62,0.10,0.0,0.0
2007-12-08,,85,69,0.00,0.0,0.0
2007-12-09,,85,68,0.00,0.0,0.0
2007-12-10,,85,66,0.00,0.0,0.0
2007-12-11,,85,66,0.00,0.0,0.0
2007-12-12,,85,66,0.00,0.0,0.0
2007-12-13,,85,65,0.02,0.0,0.0
2007-12-14,,85,71,0.60,0.0,0.0
2007-12-15,,84,72,0.00,0.0,0.0
2007-12-16,,78,58,0.08,0.0,0.0
2007-12-17,,64,46,0.00,0.0,0.0
2007-12-18,,75,47,0.00,0.0,0.0
2007-12-19,,78,55,0.00,0.0,0.0
2007-12-20,,80,55,0.00,0.0,0.0
2007-12-21,,78,63,0.00,0.0,0.0
2007-12-22,,76,55,0.00,0.0,0.0
2007-12-23,,78,60,0.00,0.0,0.0
2007-12-24,,81,62,0.00,0.0,0.0
2007-12-25,,78,64,0.00,0.0,0.0
2007-12-26,,76,60,0.00,0.0,0.0
2007-12-27,,80,62,0.00,0.0,0.0
2007-12-28,,85,64,0.00,0.0,0.0
2007-12-29,,84,67,0.00,0.0,0.0
2007-12-30,,83,69,0.00,0.0,0.0
2007-12-31,,83,70,0.00,0.0,0.0
2008-01-01,,74,60,0.09,0.0,0.0
2008-01-02,,60,40,0.00,0.0,0.0
2008-01-03,,61,34,0.00,0.0,0.0
2008-01-04,,69,45,0.00,0.0,0.0
2008-01-05,,69,55,0.00,0.0,0.0
2008-01-06,,81,59,0.00,0.0,0.0
2008-01-07,,83,58,0.00,0.0,0.0
2008-01-08,,84,61,0.00,0.0,0.0
2008-01-09,,80,57,0.00,0.0,0.0
2008-01-10,,84,60,0.00,0.0,0.0
2008-01-11,,81,61,0.00,0.0,0.0
2008-01-12,,80,62,0.00,0.0,0.0
2008-01-13,,79,64,0.00,0.0,0.0
2008-01-14,,74,55,0.00,0.0,0.0
2008-01-15,,73,50,0.00,0.0,0.0
2008-01-16,,78,54,0.00,0.0,0.0
2008-01-17,,78,68,0.01,0.0,0.0
2008-01-18,,80,69,0.00,0.0,0.0
2008-01-19,,83,67,0.24,0.0,0.0
2008-01-20,,70,53,0.35,0.0,0.0
2008-01-21,,79,53,0.00,0.0,0.0
2008-01-22,,81,64,0.00,0.0,0.0
2008-01-23,,80,66,0.00,0.0,0.0
2008-01-24,,71,64,0.00,0.0,0.0
2008-01-25,,74,58,0.00,0.0,0.0
2008-01-26,,76,53,0.00,0.0,0.0
2008-01-27,,75,55,0.00,0.0,0.0
2008-01-28,,72,48,0.00,0.0,0.0
2008-01-29,,76,48,0.00,0.0,0.0
2008-01-30,,78,58,0.00,0.0,0.0
2008-01-31,,83,57,0.00,0.0,0.0
2008-02-01,,80,61,0.00,0.0,0.0
2008-02-02,,81,63,0.00,0.0,0.0
2008-02-03,,80,62,0.00,0.0,0.0
2008-02-04,,85,62,0.00,0.0,0.0
2008-02-05,,86,65,0.00,0.0,0.0
2008-02-06,,83,68,0.00,0.0,0.0
2008-02-07,,83,69,0.00,0.0,0.0
2008-02-08,,82,66,0.00,0.0,0.0
2008-02-09,,82,67,0.00,0.0,0.0
2008-02-10,,81,61,0.00,0.0,0.0
2008-02-11,,80,54,0.00,0.0,0.0
2008-02-12,,79,63,0.71,0.0,0.0
2008-02-13,,73,63,0.76,0.0,0.0
2008-02-14,,74,50,0.00,0.0,0.0
2008-02-15,,78,53,0.00,0.0,0.0
2008-02-16,,83,59,0.00,0.0,0.0
2008-02-17,,85,64,0.00,0.0,0.0
2008-02-18,,82,69,0.00,0.0,0.0
2008-02-19,,78,64,0.01,0.0,0.0
2008-02-20,,81,59,0.00,0.0,0.0
2008-02-21,,85,65,0.00,0.0,0.0
2008-02-22,,82,69,0.00,0.0,0.0
2008-02-23,,84,72,0.00,0.0,0.0
2008-02-24,,82,72,0.00,0.0,0.0
2008-02-25,,81,71,0.00,0.0,0.0
2008-02-26,,83,68,0.00,0.0,0.0
2008-02-27,,75,51,0.03,0.0,0.0
2008-02-28,,66,46,0.00,0.0,0.0
2008-02-29,,79,48,0.00,0.0,0.0
2008-03-01,,80,58,0.00,0.0,0.0
2008-03-02,,83,59,0.00,0.0,0.0
2008-03-03,,86,59,0.00,0.0,0.0
2008-03-04,,84,68,0.00,0.0,0.0
2008-03-05,,76,68,0.00,0.0,0.0
2008-03-06,,85,66,0.00,0.0,0.0
2008-03-07,,85,71,0.00,0.0,0.0
2008-03-08,,79,54,0.52,0.0,0.0
2008-03-09,,74,45,0.00,0.0,0.0
2008-03-10,,81,56,0.00,0.0,0.0
2008-03-11,,82,65,0.00,0.0,0.0
2008-03-12,,76,65,0.00,0.0,0.0
2008-03-13,,72,57,0.00,0.0,0.0
2008-03-14,,82,53,0.02,0.0,0.0
2008-03-15,,83,63,0.00,0.0,0.0
2008-03-16,,82,71,0.00,0.0,0.0
2008-03-17,,86,67,0.00,0.0,0.0
2008-03-18,,86,65,0.00,0.0,0.0
2008-03-19,,85,68,0.00,0.0,0.0
2008-03-20,,80,65,0.00,0.0,0.0
2008-03-21,,84,60,0.00,0.0,0.0
2008-03-22,,77,63,0.10,0.0,0.0
2008-03-23,,79,68,0.09,0.0,0.0
2008-03-24,,77,57,0.00,0.0,0.0
2008-03-25,,74,49,0.00,0.0,0.0
2008-03-26,,81,52,0.00,0.0,0.0
2008-03-27,,82,56,0.00,0.0,0.0
2008-03-28,,83,59,0.00,0.0,0.0
2008-03-29,,86,62,0.00,0.0,0.0
2008-03-30,,88,63,0.01,0.0,0.0
2008-03-31,,91,66,0.00,0.0,0.0
2008-04-01,,89,67,2.95,0.0,0.0
2008-04-02,,85,68,0.53,0.0,0.0
2008-04-03,,88,68,0.00,0.0,0.0
2008-04-04,,87,70,0.00,0.0,0.0
2008-04-05,,87,67,0.04,0.0,0.0
2008-04-06,,87,65,2.05,0.0,0.0
2008-04-07,,81,66,0.32,0.0,0.0
2008-04-08,,83,69,0.00,0.0,0.0
2008-04-09,,88,67,0.00,0.0,0.0
2008-04-10,,86,64,0.00,0.0,0.0
2008-04-11,,85,65,0.00,0.0,0.0
2008-04-12,,83,71,0.00,0.0,0.0
2008-04-13,,82,66,0.00,0.0,0.0
2008-04-14,,76,59,0.00,0.0,0.0
2008-04-15,,65,53,0.00,0.0,0.0
2008-04-16,,78,52,0.00,0.0,0.0
2008-04-17,,80,54,0.00,0.0,0.0
2008-04-18,,84,59,0.00,0.0,0.0
2008-04-19,,81,61,0.00,0.0,0.0
2008-04-20,,80,64,0.00,0.0,0.0
2008-04-21,,80,66,0.00,0.0,0.0
2008-04-22,,80,66,0.00,0.0,0.0
2008-04-23,,80,62,0.00,0.0,0.0
2008-04-24,,87,64,0.00,0.0,0.0
2008-04-25,,86,64,0.00,0.0,0.0
2008-04-26,,85,63,0.00,0.0,0.0
2008-04-27,,85,64,0.00,0.0,0.0
2008-04-28,,85,67,0.00,0.0,0.0
2008-04-29,,81,69,0.02,0.0,0.0
2008-04-30,,87,62,0.00,0.0,0.0
2008-05-01,,87,59,0.00,,
2008-05-02,,87,62,0.00,,
2008-05-03,,87,63,0.05,,
2008-05-04,,84,68,0.00,,
2008-05-05,,84,70,0.00,,
2008-05-06,,81,64,0.00,,
2008-05-07,,89,65,0.00,,
2008-05-08,,87,69,0.00,,
2008-05-09,,85,73,0.00,,
2008-05-10,,87,71,0.00,,
2008-05-11,,86,73,0.00,,
2008-05-12,,84,72,0.00,,
2008-05-13,,88,62,0.00,,
2008-05-14,,88,67,0.00,,
2008-05-15,,86,65,0.00,,
2008-05-16,,85,67,0.00,,
2008-05-17,,85,74,0.00,,
2008-05-18,,85,75,0.00,,
2008-05-19,,87,78,0.00,,
2008-05-20,,87,79,0.00,,
2008-05-21,,87,77,0.00,,
2008-05-22,,88,76,0.00,,
2008-05-23,,91,74,0.00,,
2008-05-24,,89,73,0.00,,
2008-05-25,,94,73,0.00,,
2008-05-26,,90,66,0.00,,
2008-05-27,,91,65,0.00,,
2008-05-28,,91,69,0.00,,
2008-05-29,,94,73,0.00,,
2008-05-30,,92,71,0.11,,
2008-05-31,,89,66,0.18,,
2008-06-01,,90,75,0.00,0.0,0.0
2008-06-02,,88,75,0.11,0.0,0.0
2008-06-03,,89,72,0.03,0.0,0.0
2008-06-04,,90,73,0.00,0.0,0.0
2008-06-05,,93,75,0.41,0.0,0.0
2008-06-06,,96,74,0.01,0.0,0.0
2008-06-07,,94,73,0.00,0.0,0.0
2008-06-08,,92,72,0.89,0.0,0.0
2008-06-09,,87,69,0.12,0.0,0.0
2008-06-10,,87,71,0.00,0.0,0.0
2008-06-11,,90,72,0.00,0.0,0.0
2008-06-12,,91,72,0.67,0.0,0.0
2008-06-13,,92,71,0.15,0.0,0.0
2008-06-14,,91,71,1.28,0.0,0.0
2008-06-15,,88,71,0.00,0.0,0.0
2008-06-16,,88,73,0.00,0.0,0.0
2008-06-17,,88,76,0.01,0.0,0.0
2008-06-18,,88,74,0.06,0.0,0.0
2008-06-19,,86,73,0.29,0.0,0.0
2008-06-20,,88,76,0.00,0.0,0.0
2008-06-21,,89,75,0.05,0.0,0.0
2008-06-22,,90,73,0.06,0.0,0.0
2008-06-23,,90,74,0.00,0.0,0.0
2008-06-24,,93,71,0.74,0.0,0.0
2008-06-25,,91,68,1.97,0.0,0.0
2008-06-26,,87,73,0.01,0.0,0.0
2008-06-27,,91,73,0.43,0.0,0.0
2008-06-28,,92,73,0.66,0.0,0.0
2008-06-29,,90,73,1.25,0.0,0.0
2008-06-30,,89,73,0.25,0.0,0.0
2008-07-01,,88,73,0.00,0.0,0.0
2008-07-02,,87,73,0.17,0.0,0.0
2008-07-03,,85,72,0.00,0.0,0.0
2008-07-04,,89,71,0.00,0.0,0.0
2008-07-05,,91,72,1.09,0.0,0.0
2008-07-06,,88,73,0.79,0.0,0.0
2008-07-07,,90,71,0.24,0.0,0.0
2008-07-08,,91,71,0.63,0.0,0.0
